,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
0,1,6428,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ANTROPOLOGÍA SOCIAL
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES
2,3,3184,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS DE GOBIERNO Y POLÍTICA
3,4,2921,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS DEL LENGUAJE
4,5,1692,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS FISIOLÓGICAS
5,6,2854,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS MICROBIOLOGÍA
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS
7,8,94,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: EN LA ESPECIALIDAD DE CIENCIA DE MATERIALES
8,9,92,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: FÍSICA
9,10,417,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: FÍSICA APLICADA
10,11,413,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: MATEMÁTICAS
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO
12,13,787,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DISPOSITIVOS SEMICONDUCTORES
13,14,2103,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ECONOMÍA POLÍTICA DEL DESARROLLO
14,15,6790,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN EDUCACIÓN MATEMÁTICA
15,16,7298,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ENSEÑANZA Y APRENDIZAJE DE LENGUAS
16,17,6183,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ESTUDIOS HISTÓRICOS
