Unnamed: 0,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA,area_general,subcampo,CVE_AREA_CONOCIMIENTO,DESC_AREA_CONOCIMIENTO,ID_CAMPO,CVE_CAMPO,DESC_CAMPO,similitud
0,1,6428,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,54.54545454545454
0,1,6428,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,54.54545454545454
0,1,6428,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,54.54545454545454
0,1,6428,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,54.54545454545454
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
1,2,5282,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,75.47169811320755
2,3,3184,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS DE GOBIERNO Y POLÍTICA,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,60.75949367088608
3,4,2921,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS DEL LENGUAJE,Ciencias Naturales,Ciencias,6,Ciencias Sociales,186,51,CIENCIAS DE LA EDUCACIÓN,65.51724137931035
3,4,2921,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS DEL LENGUAJE,Ciencias Naturales,Ciencias,6,Ciencias Sociales,186,51,CIENCIAS DE LA EDUCACIÓN,65.51724137931035
